data;codcli;Vendedor;produto;des_cat_pro;produto;origem;peso_liquido;valor_total;movimento
07/07/2022;2381;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;7190;8628;ENTRADA
07/07/2022;6009;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;80;88;ENTRADA
07/07/2022;215;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;160;168;ENTRADA
07/07/2022;6012;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;980;1127;ENTRADA
07/07/2022;1938;Vendedor I;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3690;4243,5;ENTRADA
07/07/2022;3915;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;340;374;ENTRADA
07/07/2022;5852;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2650;3047,5;ENTRADA
07/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3860;4632;ENTRADA
07/07/2022;4289;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1540;1848;ENTRADA
27/07/2022;55;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1650;1980;ENTRADA
08/07/2022;6192;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1360;1632;ENTRADA
08/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1160;1450;ENTRADA
08/07/2022;1916;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;100;110;ENTRADA
08/07/2022;6246;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;260;286;ENTRADA
08/07/2022;4430;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;140;154;ENTRADA
08/07/2022;1460;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1470;1543,5;ENTRADA
08/07/2022;3908;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2700;3105;ENTRADA
08/07/2022;1151;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;390;448,5;ENTRADA
08/07/2022;1552;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1180;1357;ENTRADA
08/07/2022;812;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;900;1035;ENTRADA
08/07/2022;51;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;460;552;ENTRADA
08/07/2022;88;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1040;1196;ENTRADA
08/07/2022;3121;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;890;1023,5;ENTRADA
08/07/2022;2688;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1400;1610;ENTRADA
08/07/2022;1151;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;270;310,5;ENTRADA
27/07/2022;2381;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;9340;11208;ENTRADA
08/07/2022;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2280;2622;ENTRADA
08/07/2022;142;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1720;2150;ENTRADA
21/07/2022;5926;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;290;304,5;ENTRADA
21/07/2022;140;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1200;1380;ENTRADA
21/07/2022;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1450;1667,5;ENTRADA
11/07/2022;2846;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;230;253;ENTRADA
11/07/2022;6361;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;280;308;ENTRADA
11/07/2022;2846;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;280;308;ENTRADA
11/07/2022;292;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4810;5772;ENTRADA
11/07/2022;46;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;6620;7944;ENTRADA
11/07/2022;1886;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;880;1056;ENTRADA
11/07/2022;631;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;5630;6474,5;ENTRADA
11/07/2022;1779;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1370;1575,5;ENTRADA
11/07/2022;2846;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;460;506;ENTRADA
11/07/2022;4418;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;5490;6588;ENTRADA
11/07/2022;2630;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;7310;10965;ENTRADA
11/07/2022;2453;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;250;287,5;ENTRADA
11/07/2022;2946;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4090;4908;ENTRADA
11/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;920;1150;ENTRADA
11/07/2022;5754;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1320;1716;ENTRADA
11/07/2022;2381;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;6350;7620;ENTRADA
11/07/2022;3050;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1365;1365;ENTRADA
12/07/2022;2373;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;160;168;ENTRADA
12/07/2022;822;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;450;517,5;ENTRADA
12/07/2022;2994;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1260;1449;ENTRADA
12/07/2022;5670;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1460;1752;ENTRADA
12/07/2022;1487;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1070;1230,5;ENTRADA
12/07/2022;5852;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;910;1092;ENTRADA
12/07/2022;26;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1930;2219,5;ENTRADA
13/07/2022;2599;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;4480;5152;ENTRADA
13/07/2022;5726;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;610;671;ENTRADA
13/07/2022;1098;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;3190;3828;ENTRADA
13/07/2022;3958;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;560;616;ENTRADA
13/07/2022;1826;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;660;693;ENTRADA
13/07/2022;2381;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;11120;13344;ENTRADA
13/07/2022;5090;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2080;2080;ENTRADA
13/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2890;3468;ENTRADA
13/07/2022;292;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1450;1740;ENTRADA
13/07/2022;112;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;290;319;ENTRADA
13/07/2022;2378;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1710;1966,5;ENTRADA
13/07/2022;3908;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2020;2323;ENTRADA
14/07/2022;6060;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1510;1736,5;ENTRADA
14/07/2022;2884;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2270;2610,5;ENTRADA
14/07/2022;4450;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2390;2868;ENTRADA
14/07/2022;51;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;610;732;ENTRADA
14/07/2022;1151;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;330;363;ENTRADA
14/07/2022;3303;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;350;420;ENTRADA
14/07/2022;55;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1010;1212;ENTRADA
15/07/2022;776;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;2640;3168;ENTRADA
15/07/2022;1200;Vendedor B;SUCATA MIÚDA;FERRO;SUCATA MIÚDA;BOLETO;1620;1701;ENTRADA
